№ Кампании,Название кампании,Тип кампании,Статус кампании,Название пакетной стратегии,Тип стратегии,№ Группы,Название группы,Тип условия показа,Ключевая фраза,Условие подбора аудитории,Условие подбора аудитории,Название корректировки,Корректировки,Поисковый запрос,Категория запроса,Упоминания брендов в запросах,Тип соответствия,Подобранная фраза,№ Объявления,Статус объявления,Тип объявления,Заголовок,Текст,Ссылка,Место клика,Формат,Источник текста,Название товара или каталога,Производитель товара,Категория товара,Пол,Возраст,Уровень платежеспособности,Уровень трат в категории,Жанры и тематики,Тип инвентаря,Производитель устройства,Версия ОС устройства,Тип устройства,Тип операционной системы,Тип связи,Тип площадки,Вид размещения,Тематика телеграм-канала,"Расход, ₽",Клики,"CPC, ₽","Отказы, %",Глубина просмотра,Конверсии,"CR, %","CPA, ₽","Доход (от ценности конверсий), ₽","ДРР (по ценности), %",ROI (по ценности),"Прибыль (по ценности), ₽"
704073639,Психолог Ксения,Единая перфоманс-кампания,Активные,,Максимум конверсий с ограничением по цене,5662806799,Тревога и паника,Фраза,помощь психолога при тревоге,-,0,-,0,тревожность к кому обратиться психолог или психотерапевт,Сопутствующие запросы,Запросы без упоминания брендов,Семантическое,,1890155724754657248,Активные,Нейрообъявление,Психолог для работы с тревожностью и беспокойством,Конфиденциально. Защищенные каналы связи.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,Текстово-графический,Оригинальный,,,,Женский,25-34 года,2–5%,Не определено,,Баннеры,-,-,Смартфоны,iOS,Wi-Fi,Поиск,Спецразмещение,Не определено,0.00,0,-,-,-,0,-,-,0.00,-,-,0.00
704073639,Психолог Ксения,Единая перфоманс-кампания,Активные,,Максимум конверсий с ограничением по цене,5662806799,Тревога и паника,Автотаргетинг,,-,0,-,0,поведенческий психолог,Целевые запросы,Запросы без упоминания брендов,-,,1890155724754657248,Активные,Нейрообъявление,Психолог по методу КПТ. Конфиденциально.,Помогу разобраться с тревожными состояниями. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,Текстово-графический,Автоматический,,,,Женский,35-44 года,2–5%,Не определено,,Баннеры,-,-,Смартфоны,Android,Wi-Fi,Поиск,Прочее,Не определено,0.00,0,-,-,-,0,-,-,0.00,-,-,0.00
704073639,Психолог Ксения,Единая перфоманс-кампания,Активные,,Максимум конверсий с ограничением по цене,5662806799,Тревога и паника,Фраза,психолог консультация цена,-,0,-,0,платный психолог в уфе для юноши,Альтернативные запросы,Запросы без упоминания брендов,Семантическое,,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн. Конфиденциально. Метод КПТ.,Бесплатная встреча 30 минут. Конкретные техники. Домашнее задание. Поддержка.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,Текстово-графический,Автоматический,,,,Женский,45-54 года,Остальные,Не определено,,Баннеры,-,-,Смартфоны,Android,Wi-Fi,Поиск,Прочее,Не определено,0.00,0,-,-,-,0,-,-,0.00,-,-,0.00
704073639,Психолог Ксения,Единая перфоманс-кампания,Активные,,Максимум конверсий с ограничением по цене,5662806799,Тревога и паника,Фраза,психолог консультация цена,-,0,-,0,психолог спб недорого,Широкие запросы,Запросы без упоминания брендов,Семантическое,,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн. КПТ. Бесплатная встреча (30 минут),Конфиденциальная работа. Конкретные техники. Поддержка на каждом этапе.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,Текстово-графический,Автоматический,,,,Женский,35-44 года,Остальные,Не определено,,Баннеры,-,-,Десктопы,Не определён,Wi-Fi,Поиск,Прочее,Не определено,0.00,0,-,-,-,0,-,-,0.00,-,-,0.00
704073639,Психолог Ксения,Единая перфоманс-кампания,Активные,,Максимум конверсий с ограничением по цене,5662806799,Тревога и паника,Фраза,услуги психолога онлайн,-,0,-,0,сервисы психологической помощи,Целевые запросы,Запросы без упоминания брендов,Семантическое,,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн. Конфиденциально.,Помогу разобраться с тревогой и беспокойством. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,Текстово-графический,Автоматический,,,,Мужской,25-34 года,Остальные,Не определено,,Баннеры,-,-,Десктопы,Не определён,Wi-Fi,Поиск,Прочее,Не определено,0.00,0,-,-,-,0,-,-,0.00,-,-,0.00
704073639,Психолог Ксения,Единая перфоманс-кампания,Активные,,Максимум конверсий с ограничением по цене,5662806799,Тревога и паника,Фраза,психолог консультация цена,-,0,-,0,психолог екатеринбург недорого консультация кочнева наталья,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,1890155724754657248,Активные,Нейрообъявление,Психолог по методу КПТ. Конфиденциально.,Помогу разобраться с тревожными состояниями. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,Текстово-графический,Автоматический,,,,Женский,35-44 года,Остальные,Не определено,,Баннеры,-,-,Смартфоны,iOS,Wi-Fi,Поиск,Прочее,Не определено,0.00,0,-,-,-,0,-,-,0.00,-,-,0.00
704073639,Психолог Ксения,Единая перфоманс-кампания,Активные,,Максимум конверсий с ограничением по цене,5662806799,Тревога и паника,Автотаргетинг,,-,0,-,0,онлайн психотерапевт,Целевые запросы,Запросы без упоминания брендов,-,,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн. Конфиденциально. Метод КПТ.,Бесплатная встреча 30 минут. Конкретные техники. Домашнее задание. Поддержка.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,Текстово-графический,Автоматический,,,,Женский,35-44 года,Остальные,Не определено,,Баннеры,-,-,Смартфоны,Android,Wi-Fi,Поиск,Спецразмещение,Не определено,0.00,0,-,-,-,0,-,-,0.00,-,-,0.00
704073639,Психолог Ксения,Единая перфоманс-кампания,Активные,,Максимум конверсий с ограничением по цене,5662806799,Тревога и паника,Автотаргетинг,,-,0,-,0,психолог онлайн найти,Целевые запросы,Запросы без упоминания брендов,-,,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн. КПТ. Бесплатная встреча (30 минут),Конфиденциальная работа. Конкретные техники. Поддержка на каждом этапе.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,Текстово-графический,Автоматический,,,,Женский,25-34 года,Остальные,Не определено,,Баннеры,-,-,Смартфоны,Android,Wi-Fi,Поиск,Спецразмещение,Не определено,0.00,0,-,-,-,0,-,-,0.00,-,-,0.00
704073639,Психолог Ксения,Единая перфоманс-кампания,Активные,,Максимум конверсий с ограничением по цене,5662806799,Тревога и паника,Автотаргетинг,,-,0,-,0,у психолога найдется вопрос который поставит меня,Целевые запросы,Запросы без упоминания брендов,-,,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн. КПТ. Бесплатная встреча (30 минут),Конфиденциальная работа. Конкретные техники. Поддержка на каждом этапе.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,Текстово-графический,Автоматический,,,,Женский,45-54 года,2–5%,Не определено,,Баннеры,-,-,Смартфоны,Android,Wi-Fi,Поиск,Спецразмещение,Не определено,0.00,0,-,-,-,0,-,-,0.00,-,-,0.00
704073639,Психолог Ксения,Единая перфоманс-кампания,Активные,,Максимум конверсий с ограничением по цене,5662806799,Тревога и паника,Фраза,психолог консультация цена,-,0,-,0,марина нахалова психолог цены,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,1890155724754657248,Активные,Нейрообъявление,Психолог по методу КПТ. Конфиденциально.,Помогу разобраться с тревожными состояниями. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,Текстово-графический,Автоматический,,,,Женский,35-44 года,2–5%,Не определено,,Баннеры,-,-,Смартфоны,Android,Wi-Fi,Поиск,Спецразмещение,Не определено,0.00,0,-,-,-,0,-,-,0.00,-,-,0.00
704073639,Психолог Ксения,Единая перфоманс-кампания,Активные,,Максимум конверсий с ограничением по цене,5662806799,Тревога и паника,Автотаргетинг,,-,0,-,0,когнитивно поведенческая терапия москва,Целевые запросы,Запросы без упоминания брендов,-,,1890155724754657248,Активные,Нейрообъявление,Психолог по методу КПТ. Конфиденциально.,Помогу разобраться с тревожными состояниями. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,Текстово-графический,Автоматический,,,,Женский,35-44 года,Топ 1%,Не определено,,Баннеры,-,-,Смартфоны,iOS,Wi-Fi,Поиск,Спецразмещение,Не определено,0.00,0,-,-,-,0,-,-,0.00,-,-,0.00
704073639,Психолог Ксения,Единая перфоманс-кампания,Активные,,Максимум конверсий с ограничением по цене,5662806799,Тревога и паника,Автотаргетинг,,-,0,-,0,кпт психолог,Целевые запросы,Запросы без упоминания брендов,-,,1890155724754657248,Активные,Нейрообъявление,Психолог по методу КПТ. Конфиденциально.,Помогу разобраться с тревожными состояниями. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,Текстово-графический,Автоматический,,,,Женский,45-54 года,Топ 1%,Не определено,,Баннеры,-,-,Смартфоны,Android,Wi-Fi,Поиск,Спецразмещение,Не определено,0.00,0,-,-,-,0,-,-,0.00,-,-,0.00
704073639,Психолог Ксения,Единая перфоманс-кампания,Активные,,Максимум конверсий с ограничением по цене,5662806799,Тревога и паника,Автотаргетинг,,-,0,-,0,кпт психолог,Целевые запросы,Запросы без упоминания брендов,-,,1890155724754657248,Активные,Нейрообъявление,Психолог по методу КПТ. Конфиденциально.,Помогу разобраться с тревожными состояниями. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,Текстово-графический,Автоматический,,,,Женский,25-34 года,Остальные,Не определено,,Баннеры,-,-,Десктопы,Не определён,Wi-Fi,Поиск,Прочее,Не определено,0.00,0,-,-,-,0,-,-,0.00,-,-,0.00
704073639,Психолог Ксения,Единая перфоманс-кампания,Активные,,Максимум конверсий с ограничением по цене,5662806799,Тревога и паника,Фраза,консультация психолога онлайн,-,0,-,0,психолог онлайн консультация,Широкие запросы,Запросы без упоминания брендов,Семантическое,,1890155724754657248,Активные,Нейрообъявление,Психолог по методу КПТ. Конфиденциально.,Помогу разобраться с тревожными состояниями. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,Текстово-графический,Автоматический,,,,Женский,35-44 года,Остальные,Не определено,,Баннеры,-,-,Смартфоны,Android,Wi-Fi,Поиск,Прочее,Не определено,0.00,0,-,-,-,0,-,-,0.00,-,-,0.00
704073639,Психолог Ксения,Единая перфоманс-кампания,Активные,,Максимум конверсий с ограничением по цене,5662806799,Тревога и паника,Фраза,помощь психолога при тревоге,-,0,-,0,гипноз от панических атак и тревожности слушать екатеринбург,Сопутствующие запросы,Запросы без упоминания брендов,Семантическое,,1890155724754657248,Активные,Нейрообъявление,Психолог по тревожности. Помогу вернуть спокойствие,Конфиденциально. Научные методы. Конкретные техники. Поддержка на каждом этапе.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,Текстово-графический,Автоматический,,,,Женский,Старше 55,Остальные,Не определено,,Баннеры,-,-,Смартфоны,Android,Wi-Fi,Поиск,Прочее,Не определено,0.00,0,-,-,-,0,-,-,0.00,-,-,0.00
704073639,Психолог Ксения,Единая перфоманс-кампания,Активные,,Максимум конверсий с ограничением по цене,5662806799,Тревога и паника,Автотаргетинг,,-,0,-,0,психологи по когнитивным поведенческим расстройствам,Целевые запросы,Запросы без упоминания брендов,-,,1890155724754657248,Активные,Нейрообъявление,Психолог по методу КПТ. Конфиденциально.,Помогу разобраться с тревожными состояниями. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,Текстово-графический,Автоматический,,,,Женский,45-54 года,Остальные,Не определено,,Баннеры,-,-,Смартфоны,Android,Wi-Fi,Поиск,Спецразмещение,Не определено,0.00,0,-,-,-,0,-,-,0.00,-,-,0.00
704073639,Психолог Ксения,Единая перфоманс-кампания,Активные,,Максимум конверсий с ограничением по цене,5662806799,Тревога и паника,Автотаргетинг,,-,0,-,0,психологи по когнитивным поведенческим расстройствам,Целевые запросы,Запросы без упоминания брендов,-,,1890155724754657248,Активные,Нейрообъявление,Психолог по методу КПТ. Конфиденциально.,Помогу разобраться с тревожными состояниями. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Заголовок и ссылка перехода,Текстово-графический,Автоматический,,,,Женский,45-54 года,Остальные,Не определено,,Баннеры,-,-,Смартфоны,Android,Wi-Fi,Поиск,Спецразмещение,Не определено,13.06,1,13.06,0.00,1.00,0,0.00,-,0.00,-,-1.00,-13.06
704073639,Психолог Ксения,Единая перфоманс-кампания,Активные,,Максимум конверсий с ограничением по цене,5662806799,Тревога и паника,Фраза,помощь психолога при тревоге,-,0,-,0,какие вопросы задает психолог при тревоге,Сопутствующие запросы,Запросы без упоминания брендов,Семантическое,,1890155724754657248,Активные,Нейрообъявление,Психолог для работы с тревожностью и беспокойством,Конфиденциально. Защищенные каналы связи.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,Текстово-графический,Автоматический,,,,Не определен,Не определен,Остальные,Не определено,,Баннеры,-,-,Смартфоны,iOS,Wi-Fi,Поиск,Спецразмещение,Не определено,0.00,0,-,-,-,0,-,-,0.00,-,-,0.00
704073639,Психолог Ксения,Единая перфоманс-кампания,Активные,,Максимум конверсий с ограничением по цене,5662806799,Тревога и паника,Фраза,помощь психолога при тревоге,-,0,-,0,какие вопросы задает психолог при тревоге,Сопутствующие запросы,Запросы без упоминания брендов,Семантическое,,1890155724754657248,Активные,Нейрообъявление,Психолог для работы с тревожностью и беспокойством,Конфиденциально. Защищенные каналы связи.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Заголовок и ссылка перехода,Текстово-графический,Автоматический,,,,Не определен,Не определен,Остальные,Не определено,,Баннеры,-,-,Смартфоны,iOS,Wi-Fi,Поиск,Спецразмещение,Не определено,47.80,1,47.80,100.00,1.00,0,0.00,-,0.00,-,-1.00,-47.80
704073639,Психолог Ксения,Единая перфоманс-кампания,Активные,,Максимум конверсий с ограничением по цене,5662806799,Тревога и паника,Фраза,психолог консультация цена,-,0,-,0,психолог казань консультация цены на услуги,Широкие запросы,Запросы без упоминания брендов,Пословное,,1890155724754657248,Активные,Нейрообъявление,Психолог при тревожности. Онлайн.,Разберитесь с тревожными состояниями. Конфиденциально. Без обязательств.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,Текстово-графический,Автоматический,,,,Женский,Старше 55,Остальные,Не определено,,Баннеры,-,-,Смартфоны,Android,Wi-Fi,Поиск,Прочее,Не определено,0.00,0,-,-,-,0,-,-,0.00,-,-,0.00
704073639,Психолог Ксения,Единая перфоманс-кампания,Активные,,Максимум конверсий с ограничением по цене,5662806799,Тревога и паника,Фраза,помощь психолога при тревоге,-,0,-,0,при стрессе тревоги нерной панике е какому врачу можно будет обратиться,Сопутствующие запросы,Запросы без упоминания брендов,Семантическое,,1890155724754657248,Активные,Нейрообъявление,Психолог по методу КПТ. Конфиденциально.,Помогу разобраться с тревожными состояниями. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,Текстово-графический,Автоматический,,,,Не определен,Не определен,Остальные,Не определено,,Баннеры,-,-,Смартфоны,Android,Wi-Fi,Поиск,Спецразмещение,Не определено,0.00,0,-,-,-,0,-,-,0.00,-,-,0.00
704073639,Психолог Ксения,Единая перфоманс-кампания,Активные,,Максимум конверсий с ограничением по цене,5662806799,Тревога и паника,Фраза,психолог консультация цена,-,0,-,0,москва консультация психолога стоимость,Альтернативные запросы,Запросы без упоминания брендов,Семантическое,,1890155724754657248,Активные,Нейрообъявление,КПТ онлайн. Конфиденциально и без обязательств.,Научно обоснованный метод. Бесплатная вводная встреча. Помощь при тревоге.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,Текстово-графический,Автоматический,,,,Женский,Старше 55,Остальные,Не определено,,Баннеры,-,-,Смартфоны,Android,Wi-Fi,Поиск,Прочее,Не определено,0.00,0,-,-,-,0,-,-,0.00,-,-,0.00
704073639,Психолог Ксения,Единая перфоманс-кампания,Активные,,Максимум конверсий с ограничением по цене,5662806799,Тревога и паника,Автотаргетинг,,-,0,-,0,психологу,Целевые запросы,Запросы без упоминания брендов,-,,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн. КПТ. Бесплатная встреча (30 минут),Конфиденциальная работа. Конкретные техники. Поддержка на каждом этапе.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,Текстово-графический,Автоматический,,,,Мужской,45-54 года,Остальные,Не определено,,Баннеры,-,-,Планшеты,Android,Wi-Fi,Поиск,Спецразмещение,Не определено,0.00,0,-,-,-,0,-,-,0.00,-,-,0.00
