"Кампания ""Единая перфоманс-кампания №4 от 13-10-2025"" (704073639), период 02.02.2026 - 06.02.2026"
"Всего по поисковым запросам";;"Ср.расход за день (руб.)";"Показы";"Клики";"CTR (%)";"Расход (руб.)";"Ср. цена клика (руб.)";"Конверсия (%)";"Цена цели (руб.)";"Конверсии"
"с 02.02.2026 по 06.02.2026";;336,28;2332;168;7,20;1681,39;10,01;3,57;280,23;6

"Дата";"Поисковый запрос";"Группа";"№ Группы";"Условие показа";"Тип соответствия";"Подобранная фраза";"Категория таргетинга";"Показы";"Клики";"CTR (%)";"Расход (руб.)";"Ср. цена клика (руб.)";"Конверсия (%)";"Цена цели (руб.)";"Конверсии"
03.02.2026;"можно ли вылечить тревожно депрессивное расстройство";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;36,12;36,12;-;-;0
04.02.2026;"психотерапевт горки";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Альтернативные запросы";1;1;100,00;33,04;33,04;-;-;0
04.02.2026;"прием у психотерапевта";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Сопутствующие запросы";1;1;100,00;32,77;32,77;-;-;0
05.02.2026;"какие таблетки от страха и тревоги помогают а давление не снижается";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;32,66;32,66;-;-;0
04.02.2026;"психотерапевт";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Широкие запросы";73;1;1,37;32,19;32,19;-;-;0
04.02.2026;"психотерапевт невролог";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Сопутствующие запросы";1;1;100,00;31,68;31,68;-;-;0
05.02.2026;"анонимный психолог онлайн";"Тревога и паника";5662806799;"анонимный психолог онлайн";"семантическое";-;"Широкие запросы";1;1;100,00;31,49;31,49;-;-;0
04.02.2026;"психотерапевт калинина 13";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Сопутствующие запросы";2;1;50,00;29,27;29,27;-;-;0
05.02.2026;"психолог онлайн скайп";"Тревога и паника";5662806799;"помощь психолога онлайн";"семантическое";-;"Альтернативные запросы";1;1;100,00;27,90;27,90;-;-;0
05.02.2026;"какая служба в краснодаре помогает пожилым людям избавиться от панических атак";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";2;1;50,00;27,48;27,48;100,00;27,48;1
03.02.2026;"как бороться с тревогой";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;25,37;25,37;-;-;0
06.02.2026;"психотерапевт скайп";"Тревога и паника";5662806799;"психотерапевт онлайн -консультация";"семантическое";-;"Сопутствующие запросы";1;1;100,00;25,14;25,14;-;-;0
04.02.2026;"клинический психотерапевт";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Широкие запросы";1;1;100,00;24,98;24,98;-;-;0
03.02.2026;"психотерапевт онлайн с рецептом";"Тревога и паника";5662806799;"психотерапевт онлайн консультация";"семантическое";-;"Целевые запросы";1;1;100,00;24,57;24,57;100,00;24,57;1
04.02.2026;"онлайн психологическая помощь";"Тревога и паника";5662806799;"психолог онлайн консультация -цена";"семантическое";-;"Широкие запросы";1;1;100,00;24,06;24,06;100,00;24,06;1
04.02.2026;"консультация психотерапевта цена";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Широкие запросы";2;1;50,00;23,64;23,64;-;-;0
04.02.2026;"психотерапевт в белорецке";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Альтернативные запросы";1;1;100,00;21,20;21,20;-;-;0
05.02.2026;"как помочь себе при психическом расстройстве при тревоге депрессии панике как получать себе помощь и от других помощь";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;19,73;19,73;-;-;0
05.02.2026;"как избавиться от панического страха";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;18,54;18,54;-;-;0
04.02.2026;"как побороть тревожность";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;18,50;18,50;-;-;0
03.02.2026;"врач психотерапевт онлайн";"Тревога и паника";5662806799;"психотерапевт онлайн -консультация";"семантическое";-;"Целевые запросы";1;1;100,00;17,69;17,69;100,00;17,69;1
05.02.2026;"психотерапевт панические атаки";"Тревога и паника";5662806799;"психотерапевт панические атаки";"семантическое";-;"Сопутствующие запросы";1;1;100,00;17,53;17,53;-;-;0
06.02.2026;"дыхательные практики от тревожности";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;17,47;17,47;-;-;0
04.02.2026;"поиск психотерапевта";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Широкие запросы";1;1;100,00;17,35;17,35;-;-;0
04.02.2026;"тревожность как с ней справиться";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";2;1;50,00;16,93;16,93;-;-;0
04.02.2026;"тенотен растительные таблетки";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;16,85;16,85;-;-;0
04.02.2026;"подростковый психотерапевт";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Широкие запросы";1;1;100,00;15,15;15,15;-;-;0
04.02.2026;"препараты от тревожности не вызывкт привыкания";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;15,04;15,04;-;-;0
04.02.2026;"тералиджен схема приема при тревожности";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;14,54;14,54;-;-;0
05.02.2026;"когнитивно поведенческая терапия при тревожном расстройстве";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";7;2;28,57;14,31;7,15;-;-;0
04.02.2026;"фенибут при панических атаках и тревоге";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;14,15;14,15;-;-;0
04.02.2026;"препараты от панических атак и тревоги";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;13,43;13,43;-;-;0
04.02.2026;"психотерапевт для подростка";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Сопутствующие запросы";1;1;100,00;12,21;12,21;-;-;0
04.02.2026;"как избавиться от тревожности и паники";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;12,09;12,09;-;-;0
03.02.2026;"можно ли вылечить тревожность";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;12,04;12,04;-;-;0
05.02.2026;"как вернуть энергию от тревоги гипноз";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";2;1;50,00;12,03;12,03;-;-;0
05.02.2026;"как можно помочь беременной женщине успокоить тревогу";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;11,37;11,37;-;-;0
04.02.2026;"какие препараты принимать тревожному человеку";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;11,30;11,30;-;-;0
04.02.2026;"психогипнотерапевт в липецке";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Альтернативные запросы";1;1;100,00;10,73;10,73;-;-;0
05.02.2026;"как помочь себе при тревоге депрессии краткосрочно и долгосрочно";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;10,71;10,71;-;-;0
04.02.2026;"психотерапевт псков платно";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Широкие запросы";2;1;50,00;10,46;10,46;-;-;0
04.02.2026;"метод релаксации по джекобсону при тревоге";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";6;2;33,33;10,38;5,19;-;-;0
03.02.2026;"вакансии психолог онлайн";"Тревога и паника";5662806799;"психолог онлайн -записываться -консультация -анонимный -помощь";"пословное";-;"Альтернативные запросы";1;1;100,00;10,23;10,23;-;-;0
05.02.2026;"вечером повышается беспокойство чувство тревоги что делать";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;9,25;9,25;-;-;0
03.02.2026;"как снять тревожность без таблеток";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;8,69;8,69;-;-;0
04.02.2026;"панические атаки симптомы и признаки у женщин";"Тревога и паника";5662806799;"что такое паническая атака как она проявляется";"семантическое";-;"Сопутствующие запросы";4;1;25,00;8,41;8,41;-;-;0
04.02.2026;"феназепам тревогу снижает";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;7,51;7,51;-;-;0
05.02.2026;"методика от тревоги";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;7,46;7,46;100,00;7,46;1
05.02.2026;"как побороть тревогу из за здоровья";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;7,42;7,42;-;-;0
04.02.2026;"прием психотерапевта минск";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Широкие запросы";1;1;100,00;7,23;7,23;-;-;0
04.02.2026;"можно ли при помощи гипноза убрать тревогу";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";2;1;50,00;7,20;7,20;-;-;0
04.02.2026;"снизить тревожность";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;6,94;6,94;-;-;0
04.02.2026;"как убрать тревогу и страх из подсознания";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;6,88;6,88;-;-;0
04.02.2026;"как лечить генерализованное тревожное расстройство форум";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;6,86;6,86;-;-;0
06.02.2026;"как унять беспричинную тревогу";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;6,69;6,69;-;-;0
04.02.2026;"психотерапевт в гродно частный прием";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Широкие запросы";1;1;100,00;6,34;6,34;-;-;0
04.02.2026;"психотерапевт тверь взрослый онлайн консультация";"Тревога и паника";5662806799;"психотерапевт онлайн консультация";"семантическое";-;"Широкие запросы";1;1;100,00;6,28;6,28;-;-;0
05.02.2026;"карнеги как снять тревогу";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;6,20;6,20;-;-;0
06.02.2026;"как убрать навязчивые мысли и тревогу";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;6,06;6,06;-;-;0
04.02.2026;"как избавиться от тревоги";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";5;2;40,00;5,87;2,93;-;-;0
05.02.2026;"дыхательные упражнения для успокоения при тревожности и панических";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";2;1;50,00;5,83;5,83;-;-;0
05.02.2026;"постоянный стресс и тревога как избавиться";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;5,67;5,67;-;-;0
04.02.2026;"частный психотерапевт брест инкогнито назначение лекарств";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Альтернативные запросы";1;1;100,00;5,59;5,59;-;-;0
03.02.2026;"панические атаки что делать чем лечить";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;5,51;5,51;-;-;0
04.02.2026;"таблетки от страха и тревоги без рецептов эффективные список лучших";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";2;1;50,00;5,50;5,50;-;-;0
05.02.2026;"приступ тревоги как справиться";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;5,41;5,41;-;-;0
05.02.2026;"если постоянная тревога что делать";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";2;1;50,00;5,18;5,18;-;-;0
03.02.2026;"психотерапевт могилев платно";"Тревога и паника";5662806799;"психотерапевт -онлайн";"пословное";-;"Широкие запросы";2;1;50,00;5,10;5,10;-;-;0
06.02.2026;"как побороть тревожность и навязчивые мысли";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";3;1;33,33;5,05;5,05;-;-;0
03.02.2026;"чем лечить тревожное состояние";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;4,98;4,98;-;-;0
04.02.2026;"препарат селанк от тревоги";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;4,90;4,90;-;-;0
04.02.2026;"релаксация по джекобсону при тревожном расстройстве";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";3;1;33,33;4,84;4,84;-;-;0
05.02.2026;"как убрать тревожность";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;4,75;4,75;-;-;0
06.02.2026;"кае избавиться от чувства тревоги";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;4,59;4,59;-;-;0
06.02.2026;"как избавиться от тревожности и внутреннего беспокойства";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;4,57;4,57;-;-;0
03.02.2026;"как избавиться от чувства тревоги что никто не хочет общаться и сам не звонит и не пишет";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;4,46;4,46;-;-;0
05.02.2026;"тревожность лечение";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;4,36;4,36;-;-;0
04.02.2026;"лучший противотревожный препарат";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;4,36;4,36;-;-;0
05.02.2026;"как себя успокоить при тревожном состоянии";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;4,27;4,27;-;-;0
05.02.2026;"как снять чувство тревоги и беспокойства без причины в домашних";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;4,22;4,22;-;-;0
04.02.2026;"способы избавления от беспокойства и тревожности из за симптомов";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;4,11;4,11;-;-;0
05.02.2026;"что лучше принимать при стрессе тревоге";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";2;2;100,00;4,07;2,03;-;-;0
05.02.2026;"дыхательные упражнения для успокоения при тревожности и панических атак";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";4;1;25,00;3,86;3,86;-;-;0
03.02.2026;"как лечить тревожное расстройство";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";2;1;50,00;3,82;3,82;-;-;0
03.02.2026;"можно сократить экстрасистолы нужным дыханием уменьшить тревожность";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;3,80;3,80;-;-;0
04.02.2026;"корвалол при тревоге";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;3,67;3,67;-;-;0
05.02.2026;"как справиться с беспричинной тревогой";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";2;1;50,00;3,67;3,67;-;-;0
04.02.2026;"психотерапевт";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Сопутствующие запросы";64;1;1,56;3,62;3,62;-;-;0
04.02.2026;"методы борьбы с тревожностью у подростков";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;3,52;3,52;-;-;0
03.02.2026;"паническая атака помощь психолога";"Тревога и паника";5662806799;"психотерапевт панические атаки";"семантическое";-;"Целевые запросы";1;1;100,00;3,51;3,51;-;-;0
05.02.2026;"дыхательная гимнастика при тревожности у взрослых";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;3,46;3,46;-;-;0
05.02.2026;"катлинсмит как справиться с тревогой";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;3,30;3,30;-;-;0
06.02.2026;"восстановление нервной системы после тревожного расстройства";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;3,26;3,26;-;-;0
06.02.2026;"постоянное чувство тревоги и беспокойства причины у мужчин как лечить";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;3,22;3,22;-;-;0
04.02.2026;"как убрать страх и тревогу из головы";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;3,19;3,19;-;-;0
04.02.2026;"противотревожные методы";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";2;1;50,00;3,16;3,16;-;-;0
05.02.2026;"противотревожные препараты";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;3,06;3,06;-;-;0
05.02.2026;"когнитивно поведенческая терапия при тревожном расстройстве что это";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;3,05;3,05;-;-;0
05.02.2026;"чем лечить тревогу и беспокойство";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;3,02;3,02;-;-;0
06.02.2026;"кпт при тревожных расстройствах";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";3;1;33,33;2,95;2,95;-;-;0
03.02.2026;"профилактика абортов психолог";"Тревога и паника";5662806799;"женский психолог";"семантическое";-;"Сопутствующие запросы";1;1;100,00;2,80;2,79;-;-;0
03.02.2026;"при панических атаках какие препараты принимать";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;2,79;2,79;-;-;0
03.02.2026;"как перестать тревожиться и накручивать себя после операции";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;2,78;2,78;-;-;0
05.02.2026;"как убрать наплывы страха и тревоги";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;2,68;2,68;-;-;0
03.02.2026;"когнитивно поведенческая терапия при тревожном расстройстве";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";2;1;50,00;2,56;2,56;-;-;0
04.02.2026;"тревожность и не спокойность на душе как помочь";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;2,53;2,53;-;-;0
05.02.2026;"ии психолог онлайн";"Тревога и паника";5662806799;"психолог онлайн -записываться -консультация -анонимный -помощь";"семантическое";-;"Альтернативные запросы";1;1;100,00;2,30;2,30;-;-;0
05.02.2026;"как успокоить тревожность";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;2,28;2,28;-;-;0
05.02.2026;"кпт упражнения для снижения тревожности";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";2;1;50,00;2,19;2,19;-;-;0
06.02.2026;"тенотен инструкция по применению взрослым";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;2,17;2,17;-;-;0
02.02.2026;"паническая атака симптомы";"Тревога и паника";5662806799;"паническая атака -проявляться -психотерапевт";"семантическое";-;"Сопутствующие запросы";1;1;100,00;2,15;2,15;-;-;0
04.02.2026;"панические атаки симптомы";"Тревога и паника";5662806799;"что такое паническая атака как она проявляется";"семантическое";-;"Сопутствующие запросы";5;1;20,00;2,05;2,05;-;-;0
04.02.2026;"чем можно снизить тревожность";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";2;1;50,00;2,01;2,01;100,00;2,01;1
04.02.2026;"методы психологической коррекции тревожных расстройств";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;1,83;1,83;-;-;0
03.02.2026;"таблетки от тревожности и панических атак";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;1,73;1,73;-;-;0
04.02.2026;"как избавиться от тревожности и навязчивых мыслей";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;1,71;1,71;-;-;0
03.02.2026;"как избавиться от стресса и тревоги";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";2;1;50,00;1,71;1,71;-;-;0
04.02.2026;"как избавиться от тревожности и внутреннего беспокойства советы психологов";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;1,69;1,69;-;-;0
04.02.2026;"чем лечить панические атаки";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;1,68;1,68;-;-;0
03.02.2026;"как избавиться от тревоги депрессии и раздражительности курпатов";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;1,66;1,66;-;-;0
05.02.2026;"виктория орлинская правильная доза глицина против тревожности";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";2;1;50,00;1,55;1,55;-;-;0
04.02.2026;"панические атаки с голосами признаки";"Тревога и паника";5662806799;"что такое паническая атака как она проявляется";"семантическое";-;"Сопутствующие запросы";2;1;50,00;1,53;1,53;-;-;0
05.02.2026;"как убрать тревожность внутри себя беспокойство и тревогу";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";3;1;33,33;1,50;1,50;-;-;0
04.02.2026;"при панических атаках какие препараты принимать";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;1,49;1,49;-;-;0
05.02.2026;"как избавиться от тревоги";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";2;1;50,00;1,29;1,29;-;-;0
05.02.2026;"быстрая помощь при панической атаке лекарства";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;1,27;1,27;-;-;0
06.02.2026;"какие методики в психологии избавляют от тревоги";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;1,25;1,25;-;-;0
03.02.2026;"паническая атака симптомы у женщин";"Тревога и паника";5662806799;"что такое паническая атака как она проявляется";"семантическое";-;"Сопутствующие запросы";2;1;50,00;1,21;1,21;-;-;0
03.02.2026;"паническая атака симптомы";"Тревога и паника";5662806799;"что такое паническая атака как она проявляется";"семантическое";-;"Сопутствующие запросы";7;1;14,29;1,21;1,21;-;-;0
03.02.2026;"дыхательные упражнения что ушла тревога";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;1,14;1,14;-;-;0
04.02.2026;"как убрать тревожное состояние";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;1,11;1,11;-;-;0
03.02.2026;"как побороть тревожность";"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";2;1;50,00;1,02;1,02;-;-;0
04.02.2026;"консультация психотерапевта ребенку в рб с согласия родителей";"Тревога и паника";5662806799;"психотерапевт -онлайн";"семантическое";-;"Сопутствующие запросы";1;1;100,00;0,97;0,97;-;-;0
