Поисковый запрос,№ Кампании,Название кампании,№ Группы,Название группы,Тип условия показа,Ключевая фраза,Тип соответствия,Категория запроса,Упоминания брендов в запросах,Название пакетной стратегии,Тип стратегии,Условие подбора аудитории,Условие подбора аудитории,Название корректировки,Корректировки,Подобранная фраза,"Расход, ₽",Показы,Клики,Конверсии,"CR, %","CPA, ₽","CTR, %","CPC, ₽",Взвешенные показы,"Взвешенный CTR, %",Ср. объём трафика,Ср. позиция показа,Ср. позиция клика
психолог пермь консультация,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,10,0,0,-,-,0.00,-,6.42,0.00,64.24,3.60,-
семейный психолог онлайн консультация,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога онлайн,Семантическое,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,9,0,0,-,-,0.00,-,0.94,0.00,10.42,6.25,-
психологи,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,9,0,0,-,-,0.00,-,6.31,0.00,70.06,3.11,-
кпт терапевт,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,9,0,0,-,-,0.00,-,6.27,0.00,69.71,3.33,-
чапыгина 13 психологический центр официальный сайт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,психологический сайт,0.00,9,0,0,-,-,0.00,-,3.02,0.00,33.56,4.56,-
12 коллегий психологический центр официальный сайт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,8,0,0,-,-,0.00,-,0.68,0.00,8.50,5.00,-
поведенческая терапия,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,8,0,0,-,-,0.00,-,3.82,0.00,47.69,4.14,-
помощь психолога,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,8,0,0,-,-,0.00,-,3.63,0.00,45.38,3.38,-
психологический центр,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,35.45,8,1,0,0.00,-,12.50,35.45,5.29,18.91,66.12,3.25,3.00
екатерина игоревна бурмицкая психолог москва 29 лет москва сайт знакомств burmitskaya табор катерина lubaba,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,7,0,0,-,-,0.00,-,1.51,0.00,21.57,5.00,-
сайт психолога,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,7,0,0,-,-,0.00,-,3.63,0.00,51.83,2.80,-
наталья барложецкая психолог официальный сайт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,7,0,0,-,-,0.00,-,6.37,0.00,90.99,2.86,-
сайт православной психологии,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,психология сайт,0.00,7,0,0,-,-,0.00,-,0.60,0.00,8.50,5.00,-
психи и психологи читать онлайн,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Пословное,Сопутствующие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,7,0,0,-,-,0.00,-,0.60,0.00,8.50,5.00,-
сайт психолога,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Семантическое,Широкие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,7,0,0,-,-,0.00,-,4.90,0.00,69.94,2.75,-
тревожное расстройство ростов на дону,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,7,0,0,-,-,0.00,-,0.60,0.00,8.50,5.00,-
вопросник психолога,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,6,0,0,-,-,0.00,-,3.23,0.00,53.83,4.50,-
наталья фомичева психолог стоимость,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,стоимость консультации психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,6,0,0,-,-,0.00,-,1.96,0.00,32.69,4.50,-
психологическая помощь онлайн,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,6,0,0,-,-,0.00,-,1.88,0.00,31.29,4.33,-
схема терапия найти психолога,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,75.51,6,1,0,0.00,-,16.67,75.51,2.77,36.04,46.25,5.00,5.00
все психологи сайт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,6,0,0,-,-,0.00,-,2.82,0.00,47.07,3.67,-
клинический психолог самара балыков владимир в соц сетях,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,6,0,0,-,-,0.00,-,2.37,0.00,39.47,4.33,-
елена новоселова психолог официальный сайт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,6,0,0,-,-,0.00,-,3.57,0.00,59.44,4.17,-
онлайн психолог,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Семантическое,Широкие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,6,0,0,-,-,0.00,-,0.43,0.00,7.18,4.67,-
в 17 психологический сайт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,6,0,0,-,-,0.00,-,6.06,0.00,100.98,3.67,-
семейный психолог онлайн,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Семантическое,Широкие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,79.10,6,2,1,50.00,79.10,33.33,39.55,2.17,92.24,36.14,2.40,1.50
территория счастья психологический центр москва официальный сайт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,5,0,0,-,-,0.00,-,4.22,0.00,84.40,3.40,-
центр психологической помощи,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,5,0,0,-,-,0.00,-,3.30,0.00,66.02,2.60,-
услуги психолога,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,42.09,5,1,1,100.00,42.09,20.00,42.09,3.61,27.72,72.16,3.00,4.00
может ли онлайн психолог выписать,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Семантическое,Сопутствующие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,5,0,0,-,-,0.00,-,1.77,0.00,35.41,5.40,-
спокойно сайт психологов,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,5,0,0,-,-,0.00,-,0.43,0.00,8.50,5.00,-
снижайте уровень тревоги какой врач,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог при тревоге -онлайн,Семантическое,Сопутствующие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,5,0,0,-,-,0.00,-,4.95,0.00,98.92,3.67,-
православный психолог монахиня нина крыгина официальный сайт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,5,0,0,-,-,0.00,-,4.35,0.00,87.02,2.33,-
кпт краснодар,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,5,0,0,-,-,0.00,-,0.43,0.00,8.50,5.00,-
психолог онлайн консультация,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,5,0,0,-,-,0.00,-,4.30,0.00,86.09,1.80,-
сухаревой научно практический центр психического здоровья официальный сайт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,психический сайт,0.00,5,0,0,-,-,0.00,-,0.43,0.00,8.50,5.00,-
что делать если тревожность,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,5,0,0,-,-,0.00,-,3.76,0.00,75.14,2.00,-
центр психологии,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,4,0,0,-,-,0.00,-,0.73,0.00,18.33,4.75,-
b 17 психологический сайт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,4,0,0,-,-,0.00,-,4.34,0.00,108.43,2.25,-
когнитивно поведенческая терапия нижний новгород,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,4,0,0,-,-,0.00,-,4.10,0.00,102.58,3.25,-
портал психологической помощи https phmr ru,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,4,0,0,-,-,0.00,-,3.03,0.00,75.87,4.25,-
марк бартон психолог цена приема,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,стоимость консультации психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,4,0,0,-,-,0.00,-,0.34,0.00,8.50,5.00,-
индиго уфа официальный сайт психологический центр,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,сайт психологическая,46.37,4,1,0,0.00,-,25.00,46.37,4.13,24.22,103.24,2.25,1.00
к какому врачу обращаться при панических атаках и тревоге и страхе,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог при тревоге -онлайн,Семантическое,Сопутствующие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,4,0,0,-,-,0.00,-,2.16,0.00,54.01,3.50,-
индиго уфа официальный сайт психологический центр,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,4,0,0,-,-,0.00,-,3.90,0.00,97.59,2.25,-
сайт психолога,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Пословное,Широкие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,4,0,0,-,-,0.00,-,0.34,0.00,8.50,5.00,-
наталья фомичева психолог стоимость приема москва,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,стоимость консультации психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,4,0,0,-,-,0.00,-,1.30,0.00,32.46,3.75,-
консультация психолога,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,4,0,0,-,-,0.00,-,2.93,0.00,73.27,3.50,-
белый слон екатеринбург психологический центр официальный сайт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,психологический сайт,0.00,4,0,0,-,-,0.00,-,0.34,0.00,8.50,5.00,-
белый слон екатеринбург психологический центр официальный сайт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,52.23,4,1,0,0.00,-,25.00,52.23,2.74,36.49,68.52,4.00,1.00
сайт в 17 психология официальный,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,4,0,0,-,-,0.00,-,3.38,0.00,84.49,4.00,-
елена веселаго расстановки официальный сайт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,4,0,0,-,-,0.00,-,2.43,0.00,60.80,4.25,-
психология журнал официальный сайт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Сопутствующие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,сайт психология,0.00,4,0,0,-,-,0.00,-,2.17,0.00,54.25,5.00,-
александр шахов психолог сайт официальный,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,4,0,0,-,-,0.00,-,4.05,0.00,101.16,3.00,-
сколько стоит психолог,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога цена,Семантическое,Широкие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,4,0,0,-,-,0.00,-,0.89,0.00,22.27,4.25,-
психолог новосибирск недорого,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога цена,Семантическое,Широкие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,4,0,0,-,-,0.00,-,0.34,0.00,8.50,5.00,-
андрей зберовский психолог официальный сайт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,4,0,0,-,-,0.00,-,3.03,0.00,75.64,4.00,-
в 17 сайт психологов,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,4,0,0,-,-,0.00,-,0.34,0.00,8.50,5.00,-
психолог красноярск консультация цены,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога цена,Семантическое,Широкие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,4,0,0,-,-,0.00,-,1.95,0.00,48.68,4.75,-
сайт психолога личный,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Широкие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,4,0,0,-,-,0.00,-,4.47,0.00,111.72,2.33,-
когнитивная поведенческая терапия пермь,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,24.38,4,2,0,0.00,-,50.00,12.19,4.60,43.49,114.96,1.50,2.00
психологический журнал официальный сайт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Сопутствующие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,психологический сайт,0.00,4,0,0,-,-,0.00,-,2.17,0.00,54.25,5.00,-
наталья жукова психолог сайт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,4,0,0,-,-,0.00,-,2.76,0.00,68.93,4.00,-
тревоги онлайн,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,3,0,0,-,-,0.00,-,0.26,0.00,8.50,5.00,-
кризисный психолог метод mindchat онлайн и очно москва,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Семантическое,Альтернативные запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,3,0,0,-,-,0.00,-,2.84,0.00,94.72,2.67,-
реестр психологов россии официальный сайт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Сопутствующие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,3,0,0,-,-,0.00,-,2.93,0.00,97.59,3.67,-
психолог омск консультация цена,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога цена,Семантическое,Широкие запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,3,0,0,-,-,0.00,-,2.29,0.00,76.24,4.00,-
личный психолог,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,3,0,0,-,-,0.00,-,2.90,0.00,96.75,1.50,-
самара психолог кпт,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,12.77,3,1,0,0.00,-,33.33,12.77,3.91,25.60,130.20,3.00,2.00
когнитивная терапия в новосибирске,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,3,0,0,-,-,0.00,-,0.26,0.00,8.50,5.00,-
психолог ру,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,3,0,0,-,-,0.00,-,0.99,0.00,33.13,3.67,-
екатерина святкина психолог цена консультации,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога цена,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,,Максимум конверсий с ограничением по цене,-,0,-,0,,0.00,3,0,0,-,-,0.00,-,0.92,0.00,30.70,3.67,-
