Поисковый запрос,№ Кампании,Название кампании,№ Группы,Название группы,Тип условия показа,Ключевая фраза,Тип соответствия,Категория запроса,Упоминания брендов в запросах,№ Объявления,Статус объявления,Тип объявления,Заголовок,Текст,Ссылка,Формат,Источник текста,Пол,Возраст,Уровень платежеспособности,Уровень трат в категории,Подобранная фраза,Условие подбора аудитории,Условие подбора аудитории,Название корректировки,Корректировки,Название пакетной стратегии,Тип стратегии,Тип кампании,Статус кампании,"Расход, ₽",Показы,Клики,Конверсии,"CR, %","CPA, ₽","CTR, %","CPC, ₽",Взвешенные показы,"Взвешенный CTR, %",Ср. объём трафика,Ср. позиция показа,Ср. позиция клика,"Отказы, %",Глубина просмотра
когнитивно поведенческая терапия психологическая спб,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог по методу КПТ. Конфиденциально.,Помогу разобраться с тревожными состояниями. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,25-34 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,2,0,0,-,-,0.00,-,0.17,0.00,8.50,-,-,-,-
воронеж психологическая терапия,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Оригинальный,Мужской,35-44 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,19.20,2,1,0,0.00,-,50.00,19.20,0.17,588.24,8.50,5.00,-,-,-
психолог онлайн москва,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога онлайн,Семантическое,Не определено,-,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн. Конфиденциально. Метод КПТ.,Бесплатная встреча 30 минут. Конкретные техники. Домашнее задание. Поддержка.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Мужской,35-44 года,2–5%,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,2,0,0,-,-,0.00,-,1.21,0.00,60.64,-,-,-,-
сурков олег владимирович москва психолог официальный сайт,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,сайт психолога,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн по методу КПТ.,Конфиденциальные консультации. Без обязательств. Помощь в вашем случае.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,35-44 года,6–10%,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,2,0,0,-,-,0.00,-,0.55,0.00,27.71,3.50,-,-,-
gpt chat онлайн психолог,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,услуги психолога онлайн,Семантическое,Альтернативные запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн. Конфиденциально. Метод КПТ.,Бесплатная встреча 30 минут. Конкретные техники. Домашнее задание. Поддержка.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,25-34 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,2,0,0,-,-,0.00,-,1.36,0.00,68.10,2.50,-,-,-
семейный психолог онлайн москва,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,услуги психолога онлайн,Семантическое,Целевые запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог онлайн. Конфиденциально.,Помогу разобраться с тревогой и беспокойством. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Не определен,Не определен,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,2,0,0,-,-,0.00,-,0.13,0.00,6.31,-,-,-,-
нейропсихолог сенсорная интеграция онлайн,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Семантическое,Альтернативные запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог по методу КПТ. Конфиденциально.,Помогу разобраться с тревожными состояниями. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Мужской,35-44 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,2,0,0,-,-,0.00,-,1.13,0.00,56.32,2.00,-,-,-
когнитивно поведенческая терапия краснодар,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог по методу КПТ. Конфиденциально.,Помогу разобраться с тревожными состояниями. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,45-54 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,15.66,2,1,0,0.00,-,50.00,15.66,1.30,76.86,65.05,5.00,5.00,0.00,1.00
психологическая линия доверия онлайн,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,консультация психолога онлайн,Семантическое,Широкие запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Тревога и беспокойство? Психолог онлайн.,Конфиденциальные консультации. Структурированный подход. Практические темы.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Мужской,45-54 года,Топ 1%,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,2,0,0,-,-,0.00,-,2.27,0.00,113.50,3.50,-,-,-
ищу психолога до 1000 рублей в час,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,стоимость консультации психолога,Семантическое,Широкие запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог по методу КПТ. Конфиденциально.,Помогу разобраться с тревожными состояниями. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,45-54 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,2,0,0,-,-,0.00,-,0.17,0.00,8.50,5.00,-,-,-
кпт терапия уфа,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог по методу КПТ. Конфиденциально.,Помогу разобраться с тревожными состояниями. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,35-44 года,6–10%,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,2,0,0,-,-,0.00,-,2.45,0.00,122.67,3.00,-,-,-
психотерапевт кпт спб,704073639,Психолог Ксения,5662806799,Тревога и паника,Автотаргетинг,,-,Целевые запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог по методу КПТ. Конфиденциально.,Помогу разобраться с тревожными состояниями. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,35-44 года,2–5%,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,2,0,0,-,-,0.00,-,1.68,0.00,83.84,3.50,-,-,-
елена соловьева психолог говорит москва онлайн,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,1890155724754657248,Активные,Нейрообъявление,Психолог по методу КПТ. Конфиденциально.,Помогу разобраться с тревожными состояниями. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Мужской,45-54 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,2,0,0,-,-,0.00,-,0.17,0.00,8.50,5.00,-,-,-
сколько стоит прием у анетты орловой психолога,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог консультация цена,Семантическое,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,1890155724754657248,Активные,Нейрообъявление,Психолог по методу КПТ. Конфиденциально.,Помогу разобраться с тревожными состояниями. Конкретные техники. Запишитесь!,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Оригинальный,Женский,25-34 года,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,2,0,0,-,-,0.00,-,0.53,0.00,26.31,3.00,-,-,-
интеллект и здоровье психотерапевт управление эмоциями борьба с тревогами,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог при тревоге -онлайн,Семантическое,Сопутствующие запросы,Запросы без упоминания брендов,1890155724754657248,Активные,Нейрообъявление,Психолог при тревоге. Конфиденциально и онлайн.,Бесплатная встреча. Конкретные техники. Домашнее задание для закрепления.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,Старше 55,Остальные,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,2,0,0,-,-,0.00,-,0.17,0.00,8.50,5.00,-,-,-
психолог онлайн,704073639,Психолог Ксения,5662806799,Тревога и паника,Фраза,психолог онлайн -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Семантическое,Не определено,-,1890155724754657248,Активные,Нейрообъявление,КПТ-психология онлайн. Бесплатная вводная встреча,Конфиденциально. Конкретные техники и упражнения. Поддержка на каждом этапе.,https://happy-habits.ru/v/a/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},Текстово-графический,Автоматический,Женский,35-44 года,6–10%,Не определено,,-,0,-,0,,Максимум конверсий с ограничением по цене,Единая перфоманс-кампания,Активные,0.00,2,0,0,-,-,0.00,-,0.43,0.00,21.28,-,-,-,-
