№ Кампании,Название кампании,Тип условия показа,Поисковый запрос,Категория запроса,Упоминания брендов в запросах,Тип соответствия,Подобранная фраза,Тип площадки,Вид размещения,Название площадки,Площадка выключена в РК,Можно запретить площадку,"Расход, ₽",Показы,Клики,"Взвешенный CTR, %","CTR, %",Ср. объём трафика,Ср. позиция показа,Конверсии,"CR, %","CPA, ₽"
704073639,Психолог Ксения,Фраза,психолог в краснодаре цена,Широкие запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Фраза,психолог никита карпов стоимость консультации,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,1,0,0.00,0.00,61.39,2.00,0,-,-
704073639,Психолог Ксения,Автотаргетинг,агрегаторы психологов,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,2,0,0.00,0.00,93.44,3.00,0,-,-
704073639,Психолог Ксения,Фраза,поможет ли психолог при наличии у человека тревожности,Сопутствующие запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,2,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Автотаргетинг,кпт терапевт казань,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Спецразмещение,yandex,Нет,Нет,43.93,2,1,41.72,50.00,119.83,2.00,1,100.00,43.93
704073639,Психолог Ксения,Фраза,психолог взрослый онлайн,Широкие запросы,Запросы без упоминания брендов,Пословное,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Автотаргетинг,когнитивно поведенческая терапия краснодар,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,yandex,Нет,Нет,15.66,2,1,76.86,50.00,65.05,5.00,0,0.00,-
704073639,Психолог Ксения,Фраза,психологическая линия доверия онлайн,Широкие запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,2,0,0.00,0.00,132.38,5.00,0,-,-
704073639,Психолог Ксения,Фраза,педагог психолог 2025 официальный сайт,Сопутствующие запросы,Запросы без упоминания брендов,Пословное,,Поиск,Прочее,yandex,Нет,Нет,0.00,2,0,0.00,0.00,52.79,6.00,0,-,-
704073639,Психолог Ксения,Фраза,сайт ольги демчук психоаналитик,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,2,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Фраза,тестирование у психолога цена,Сопутствующие запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Фраза,спб сколько стоит прием психолога,Широкие запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,1,0,0.00,0.00,43.48,3.00,0,-,-
704073639,Психолог Ксения,Фраза,сколько стоят услуги психолога волгоград,Альтернативные запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,1,0,0.00,0.00,87.35,1.00,0,-,-
704073639,Психолог Ксения,Фраза,сатья психолог официальный сайт,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,2,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Автотаргетинг,нервничать уже в воронеже,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Фраза,психолог екатеринбург консультация цены на услуги,Широкие запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Фраза,психолог личный сайт,Широкие запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Спецразмещение,yandex,Нет,Нет,49.79,3,1,38.69,33.33,86.16,1.00,1,100.00,49.79
704073639,Психолог Ксения,Фраза,краснодар платный психолог,Широкие запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,1,0,0.00,0.00,123.77,1.00,0,-,-
704073639,Психолог Ксения,Фраза,психолог в краснодаре консультация цена,Широкие запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,1,0,0.00,0.00,120.37,1.00,0,-,-
704073639,Психолог Ксения,Фраза,в 17 сайт психологов,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,4,0,0.00,0.00,30.65,5.50,0,-,-
704073639,Психолог Ксения,Фраза,поможет ли психолог при тревожном расстройстве,Сопутствующие запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,2,0,0.00,0.00,54.25,5.00,0,-,-
704073639,Психолог Ксения,Автотаргетинг,психолог для успокоения,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Спецразмещение,yandex,Нет,Нет,16.96,1,1,76.39,100.00,130.91,1.00,0,0.00,-
704073639,Психолог Ксения,Фраза,психолог онлайн новосибирск,Широкие запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,3,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Фраза,ясно психологи онлайн,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,Поиск,Спецразмещение,yandex,Нет,Нет,129.94,6,1,43.39,16.67,38.41,3.00,0,0.00,-
704073639,Психолог Ксения,Автотаргетинг,специалисты по когнитивно поведенческой терапии в челябинске,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Спецразмещение,yandex,Нет,Нет,15.13,2,1,36.32,50.00,137.67,1.00,0,0.00,-
704073639,Психолог Ксения,Автотаргетинг,психотерапевты по тревоге новосибирск,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Фраза,семейный психолог казань стоимость,Широкие запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Фраза,психолог онлайн,Широкие запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,23,0,0.00,0.00,7.99,5.39,0,-,-
704073639,Психолог Ксения,Фраза,сервис подбора психолога ясно,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Автотаргетинг,психолог кпт нижний новгород,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,2,0,0.00,0.00,115.62,2.50,0,-,-
704073639,Психолог Ксения,Автотаргетинг,нужна помощь психолога ну или человека у которого была похожая ситуация будет закончить зачем пермь,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,100.00,5.00,0,-,-
704073639,Психолог Ксения,Фраза,психолог онлайн консультация на авито,Целевые запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Фраза,татьяна дьяченко психолог сайт,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,2,0,0.00,0.00,93.16,1.00,0,-,-
704073639,Психолог Ксения,Фраза,виктория дубинская психолог стоимость приема,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Фраза,б 17 психологический сайт,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,15,0,0.00,0.00,26.80,5.00,0,-,-
704073639,Психолог Ксения,Фраза,сайт психологов благотворительность,Альтернативные запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Фраза,психолог агрегаторы,Широкие запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,5.58,7.00,0,-,-
704073639,Психолог Ксения,Фраза,портал психологов и психотерапевтов,Сопутствующие запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,6.31,6.00,0,-,-
704073639,Психолог Ксения,Автотаргетинг,когнитивно поведенческая терапия воронеж,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,yandex,Нет,Нет,0.00,3,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Фраза,помощь психолога онлайн михаил питер,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Фраза,консультация психолога петербург онлайн,Широкие запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,1,0,0.00,0.00,33.20,-,0,-,-
704073639,Психолог Ксения,Фраза,психологическая газета официальный сайт,Сопутствующие запросы,Запросы без упоминания брендов,Семантическое,психологический сайт,Поиск,Прочее,yandex,Нет,Нет,0.00,4,0,0.00,0.00,54.25,5.00,0,-,-
704073639,Психолог Ксения,Фраза,катя печуричко психолог стоимость записаться,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Фраза,б 17 психологический сайт,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,Поиск,Спецразмещение,yandex,Нет,Нет,20.23,6,1,18.54,16.67,89.90,1.67,0,0.00,-
704073639,Психолог Ксения,Фраза,психологическая газета сайт,Сопутствующие запросы,Запросы без упоминания брендов,Семантическое,психологический сайт,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,1,0,0.00,0.00,120.54,1.00,0,-,-
704073639,Психолог Ксения,Фраза,сколько обходится консультация психоаналитика американцу,Альтернативные запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,100.00,5.00,0,-,-
704073639,Психолог Ксения,Фраза,психолог при панических атаках ростов,Широкие запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Фраза,психолог онлайн скайп,Альтернативные запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,1,0,0.00,0.00,1.29,2.00,0,-,-
704073639,Психолог Ксения,Фраза,мира психолог онлайн,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,1,0,0.00,0.00,28.40,4.00,0,-,-
704073639,Психолог Ксения,Фраза,психологическая помощь онлайн для людей старше 30 лет в санкт петербурге,Широкие запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,1,0,0.00,0.00,5.61,4.00,0,-,-
704073639,Психолог Ксения,Фраза,психологическая линия доверия онлайн,Альтернативные запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,1,0,0.00,0.00,60.52,3.00,0,-,-
704073639,Психолог Ксения,Фраза,веб сайты психологических ассоциаций,Сопутствующие запросы,Запросы без упоминания брендов,Семантическое,психологический сайт,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,1,0,0.00,0.00,75.71,1.00,0,-,-
704073639,Психолог Ксения,Фраза,описание ситуации со стороны психолога онлайн,Широкие запросы,Запросы без упоминания брендов,Пословное,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Фраза,индивидуальный прием психолога цена,Широкие запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Фраза,сайт психологии,Широкие запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,2,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Фраза,в17 психология официальный сайт светлана слугина,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Фраза,психолог про знакомства на сайте,Сопутствующие запросы,Запросы без упоминания брендов,Пословное,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,1,0,0.00,0.00,64.29,3.00,0,-,-
704073639,Психолог Ксения,Фраза,дубровская наталья владимировна психолог онлайн,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,1,0,0.00,0.00,38.00,3.00,0,-,-
704073639,Психолог Ксения,Фраза,подбор психолога онлайн солнце,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,1,0,0.00,0.00,33.34,4.00,0,-,-
704073639,Психолог Ксения,Фраза,дубровская наталья владимировна психолог онлайн,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Пословное,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,1,0,0.00,0.00,42.80,3.00,0,-,-
704073639,Психолог Ксения,Фраза,detki psy ru,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Фраза,какое сайт с психологами рекламировала собчак,Сопутствующие запросы,Запросы без упоминания брендов,Пословное,,Поиск,Прочее,yandex,Нет,Нет,0.00,2,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Автотаргетинг,помощи при панических атаках санкт петербург,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,100.00,5.00,0,-,-
704073639,Психолог Ксения,Фраза,катя малышева викторовна записаться онлайн психолог,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,121.58,5.00,0,-,-
704073639,Психолог Ксения,Фраза,галактионова людмила александровна парапсихолог сайт,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,2,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Фраза,в17 психология официальный сайт,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,12,0,0.00,0.00,16.13,5.00,0,-,-
704073639,Психолог Ксения,Фраза,расчет психологического портрета онлайн,Сопутствующие запросы,Запросы без упоминания брендов,Семантическое,онлайн психологический  -находить -тревожность -тревога -стоимость -записываться -консультация -цена -запись,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Фраза,в17 психология официальный,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,14,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Автотаргетинг,сайт психолога,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,3,0,0.00,0.00,89.90,2.67,0,-,-
704073639,Психолог Ксения,Фраза,адалин психологический сайт,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,100.00,5.00,0,-,-
704073639,Психолог Ксения,Фраза,что за сайт психологической помощи у кукояки,Альтернативные запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,3,0,0.00,0.00,39.00,5.00,0,-,-
704073639,Психолог Ксения,Фраза,психолог екатеринбург сайты,Широкие запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.50,-,0,-,-
704073639,Психолог Ксения,Автотаргетинг,психолог ко,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,1,0,0.00,0.00,89.86,1.00,0,-,-
704073639,Психолог Ксения,Фраза,психолог по тревожным расстройствам с белоруссии,Альтернативные запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,2,0,0.00,0.00,76.79,5.00,0,-,-
704073639,Психолог Ксения,Фраза,сколько стоит сессия с психологом,Широкие запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Фраза,гусева анна сайт психолог,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,114.90,5.00,0,-,-
704073639,Психолог Ксения,Автотаргетинг,поведенческий терапевт,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,yandex,Нет,Нет,0.00,3,0,0.00,0.00,31.26,5.00,0,-,-
704073639,Психолог Ксения,Фраза,шанс серпухов официальный сайт психологический центр,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,психологический сайт,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Фраза,в 17 сайт психологов моя страница,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,100.00,5.00,0,-,-
704073639,Психолог Ксения,Автотаргетинг,где найти психологическую помощь в интернете,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,1,0,0.00,0.00,100.00,1.00,0,-,-
704073639,Психолог Ксения,Фраза,татьяна доспехова психолог стоимость приема,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Фраза,ру психолог,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,1,0,0.00,0.00,36.99,2.00,0,-,-
704073639,Психолог Ксения,Фраза,мария минакова психолог сайт,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,2,0,0.00,0.00,54.25,5.00,0,-,-
704073639,Психолог Ксения,Фраза,ирина свиридова психолог цена консультации,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,29.58,2,1,92.17,50.00,54.25,5.00,1,100.00,29.58
704073639,Психолог Ксения,Автотаргетинг,чат психологической помощи онлайн,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,1,0,0.00,0.00,118.14,2.00,0,-,-
704073639,Психолог Ксения,Фраза,анонимный чат с психологом мы рядом,Альтернативные запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,1,0,0.00,0.00,107.46,1.00,0,-,-
704073639,Психолог Ксения,Автотаргетинг,онлайн психолог,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,2,0,0.00,0.00,70.90,3.00,0,-,-
704073639,Психолог Ксения,Фраза,цены на психолога,Широкие запросы,Запросы без упоминания брендов,Семантическое,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.16,3.00,0,-,-
704073639,Психолог Ксения,Фраза,сколько стоит прием у психолога куликовой ирины викторовны егорьевск,Альтернативные запросы,Запросы с упоминанием брендов конкурентов,Семантическое,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-
704073639,Психолог Ксения,Автотаргетинг,где проводятся онлайн консультации психологами,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Спецразмещение,yandex,Нет,Нет,0.00,1,0,0.00,0.00,144.36,2.00,0,-,-
704073639,Психолог Ксения,Автотаргетинг,психотерапевт ростов на дону онлайн,Целевые запросы,Запросы без упоминания брендов,-,,Поиск,Прочее,yandex,Нет,Нет,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-
