"Клиент Пользователь подписки (badver), период 06.02.2026 - 13.02.2026"
"Всего по поисковым запросам";;"Ср.расход за день (руб.)";"Показы";"Клики";"CTR (%)";"Расход (руб.)";"Ср. цена клика (руб.)";"Конверсия (%)";"Цена цели (руб.)";"Конверсии"
"с 06.02.2026 по 13.02.2026";;390,90;737;83;11,26;3127,22;37,68;-;0,00;0

"Дата";"Поисковый запрос";"Кампания";"№ Кампании";"Группа";"№ Группы";"Условие показа";"Тип соответствия";"Подобранная фраза";"Категория таргетинга";"Показы";"Клики";"CTR (%)";"Расход (руб.)";"Ср. цена клика (руб.)";"Конверсия (%)";"Цена цели (руб.)";"Конверсии"
06.02.2026;"как снять тревожность";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";2;0;0,00;0,00;-;-;-;0
06.02.2026;"как снять тревожность и напряжение у взрослых быстро";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"как справиться с длительной тревогой и найти безопасное место";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"как справиться с тревожностью";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"как справиться с тревожностью советы";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"как справиться с тревожными расстройствами";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"как убрать из подсознания тревожное расстройство";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"как убрать навязчивые мысли и тревогу";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;6,06;6,06;-;-;0
06.02.2026;"как убрать страхи тревоги";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"как убрать тревожность";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"как убрать тревожность внутри себя";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"как убрать чувство тревоги страха потери контроля";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"как унять беспричинную тревогу";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;6,69;6,69;-;-;0
06.02.2026;"как успокоить вегетативную нервную систему при тревожности";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"какие методики в психологии избавляют от тревоги";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;1,25;1,25;-;-;0
06.02.2026;"какие методы борьбы с тревогой не помогают по настоящему";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";2;0;0,00;0,00;-;-;-;0
06.02.2026;"какие упражнения помогают снять тревогу";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";2;0;0,00;0,00;-;-;-;0
06.02.2026;"какие успокоительные лучше принимать при тревоге";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"какую дозу атаракса принимать при сильной тревожности";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";3;0;0,00;0,00;-;-;-;0
06.02.2026;"кветиапин и феварин когда помогут вылечиться от невроза и панического расстройства";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";2;0;0,00;0,00;-;-;-;0
06.02.2026;"когнитивная терапия пермь";"Психолог Ксения";704073639;"Тревога и паника";5662806799;'---autotargeting;-;-;"Целевые запросы";1;1;100,00;28,98;28,98;-;-;0
06.02.2026;"когнитивно поведенческая терапия найти";"Психолог Ксения";704073639;"Тревога и паника";5662806799;'---autotargeting;-;-;"Целевые запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"когнитивно поведенческая терапия при тревожном расстройстве";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";2;0;0,00;0,00;-;-;-;0
06.02.2026;"консультации психолога омск онлайн";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"психолог онлайн консультация -цена";"семантическое";-;"Целевые запросы";2;0;0,00;0,00;-;-;-;0
06.02.2026;"консультация врача невролога онлайн";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"консультация психолога онлайн";"семантическое";-;"Целевые запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"кпт краснодар терапия";"Психолог Ксения";704073639;"Тревога и паника";5662806799;'---autotargeting;-;-;"Целевые запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"кпт при тревожных расстройствах";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";3;1;33,33;2,95;2,95;-;-;0
06.02.2026;"кпт при тревожных расстройствах форум";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"кто назначает препараты от тревожности";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"лечение тревоги";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"лечение тревожно депрессивный форум";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"метод джекобсона панические атаки лечение тревожности";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"методы от тревоги";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"можно ли вылечить тревожно депрессивное расстройство";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"можно ли купить афобазол для успокоения тревожности";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"нейропсихолог онлайн";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"психолог онлайн -записываться -консультация -анонимный -помощь";"семантическое";-;"Узкие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"ничто не помогает при тревоге кроме алкоголя форум";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"омарон помогает ли от тревожных состояний";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"омрон помогает ли от тревожных состояний";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";2;0;0,00;0,00;-;-;-;0
06.02.2026;"онлайн прием психотерапевта";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"психотерапевт онлайн консультация";"семантическое";-;"Целевые запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"онлайн психолог";"Психолог Ксения";704073639;"Тревога и паника";5662806799;'---autotargeting;-;-;"Целевые запросы";2;0;0,00;0,00;-;-;-;0
06.02.2026;"от тревоги страха";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"паксила лечение тревоги";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"помогает ли арсеникум альбум при страхе и тревоге гомеопатия";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"помогает ли атаракс если выпить сразу как накрыла тревога";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"помогает ли валерьянка от тревожности";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"помогает ли карбамазепин при панических атаках";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"помогает ли магний от волнения";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";3;0;0,00;0,00;-;-;-;0
06.02.2026;"помогают ли капсулы с флуоксетин от панических атак и клаустрофобии";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";2;0;0,00;0,00;-;-;-;0
06.02.2026;"поможет ли невролог вылечить тревожность";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";2;0;0,00;0,00;-;-;-;0
06.02.2026;"помощь психолога онлайн";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"психолог онлайн консультация -цена";"семантическое";-;"Широкие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"помощь психолога онлайн";"Психолог Ксения";704073639;"Тревога и паника";5662806799;'---autotargeting;-;-;"Целевые запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"постоянная тревога и беспокойство на душе как избавиться";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"постоянная тревога и хочется плакать что назначает невролог";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"постоянное чувство тревоги и беспокойства причины у мужчин как лечить";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;3,22;3,22;-;-;0
06.02.2026;"препарат тенотен от тревоги";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"пропанорм при тревожном расстройстве";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";2;0;0,00;0,00;-;-;-;0
06.02.2026;"противотревожное средство как скорая помощь";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"психолог";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"""психолог""";"пословное";-;"Широкие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"психолог в женской консультации и 8 ростов на дону";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"психолог для женщин";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"психолог гипнолог с борьбе с тревогой";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"лечение тревожного расстройства";"семантическое";-;"Сопутствующие запросы";1;1;100,00;57,65;57,65;-;-;0
06.02.2026;"психолог задает вопросы и ответы";"Психолог Ксения";704073639;"Тревога и паника";5662806799;'---autotargeting;-;-;"Целевые запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"психолог кпт";"Психолог Ксения";704073639;"Тревога и паника";5662806799;'---autotargeting;-;-;"Целевые запросы";3;0;0,00;0,00;-;-;-;0
06.02.2026;"психолог обязательный прием во время беременности";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"женский психолог";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"психолог онлайн консультация";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"психолог онлайн консультация -цена";"семантическое";-;"Целевые запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"психолог онлайн консультация";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"психотерапевт онлайн консультация";"семантическое";"психолог онлайн консультация";"Широкие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"психолог онлайн психотерапевт ош";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"психолог онлайн консультация -цена";"семантическое";-;"Целевые запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"психолог по паническим атакам пенза";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"психотерапевт панические атаки";"семантическое";-;"Широкие запросы";1;0;0,00;0,00;-;-;-;0
06.02.2026;"психолог при панических атаках";"Психолог Ксения";704073639;"Тревога и паника";5662806799;"психотерапевт панические атаки";"семантическое";-;"Сопутствующие запросы";1;0;0,00;0,00;-;-;-;0
