№ Кампании,Название кампании,Тип условия показа,Ключевая фраза,Условие подбора аудитории,Условие подбора аудитории,Название корректировки,Корректировки,Категория запроса,Упоминания брендов в запросах,Тип соответствия,Подобранная фраза,№ Объявления,Статус объявления,Тип объявления,Заголовок,Текст,Ссылка,Путь до изображения,Название файла изображения,Идентификатор видео,Путь до превью видео,Формат,Источник текста,Тип площадки,Вид размещения,Региона таргетинга,Регион таргетинга,Регион местонахождения,Регион местонахождения,Пол,Возраст,Уровень платежеспособности,Уровень трат в категории,"Расход, ₽",Показы,Клики,"Взвешенный CTR, %","CTR, %",Ср. объём трафика,Ср. позиция показа,Конверсии,"CR, %","CPA, ₽","CPC, ₽","CPM, ₽","Ср. ставка за клик, ₽","Отказы, %",Глубина просмотра
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17645005020,Активные,Текстово-графическое,Психолог онлайн. КПТ. Из любой точки РФ,"Клинический психолог, метод КПТ. Бесплатная вводная встреча 30 мин.",https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Прочее,Москва,213,Москва,213,Не определен,Не определен,Остальные,Не определено,0.00,2,0,0.00,0.00,25.07,5.50,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Прочее,Луга,10876,Серебрянский,138063,Женский,25-34 года,Остальные,Не определено,0.00,2,0,0.00,0.00,8.50,5.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Спецразмещение,Алматы,162,Алматы,162,Женский,45-54 года,Топ 1%,Не определено,0.00,1,0,0.00,0.00,46.15,3.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Спецразмещение,Владивосток,75,Владивосток,75,Мужской,35-44 года,Остальные,Не определено,0.00,1,0,0.00,0.00,96.66,1.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Прочее,Москва,213,Сургут,973,Мужской,45-54 года,Остальные,Не определено,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Прочее,Сафоново,10794,Старопольское сельское поселение,166657,Женский,35-44 года,Остальные,Не определено,0.00,1,0,0.00,0.00,100.00,5.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Прочее,Нововолковское сельское поселение,173834,Нововолковское сельское поселение,173834,Мужской,25-34 года,Остальные,Не определено,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Прочее,Конаково,10812,Конаково,10812,Женский,25-34 года,2–5%,Не определено,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Спецразмещение,Лобва,100522,Лобва,100522,Женский,35-44 года,Остальные,Не определено,0.00,1,0,0.00,0.00,105.16,1.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17645005020,Активные,Текстово-графическое,Психолог онлайн. КПТ. Из любой точки РФ,"Клинический психолог, метод КПТ. Бесплатная вводная встреча 30 мин.",https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Прочее,Минеральные Воды,11063,Минеральные Воды,11063,Мужской,35-44 года,Остальные,Не определено,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17645005020,Активные,Текстово-графическое,Психолог онлайн. КПТ. Из любой точки РФ,"Клинический психолог, метод КПТ. Бесплатная вводная встреча 30 мин.",https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Прочее,Москва,213,Москва,213,Женский,25-34 года,6–10%,Не определено,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Спецразмещение,Махачкала,28,Махачкала,28,Женский,25-34 года,Остальные,Не определено,0.00,2,0,0.00,0.00,100.00,-,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17645005020,Активные,Текстово-графическое,Психолог онлайн. КПТ. Из любой точки РФ,"Клинический психолог, метод КПТ. Бесплатная вводная встреча 30 мин.",https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Прочее,Ростов-на-Дону,39,Ростов-на-Дону,39,Женский,35-44 года,2–5%,Не определено,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Прочее,Республика Крым,977,Республика Крым,977,Женский,35-44 года,Остальные,Не определено,0.00,1,0,0.00,0.00,76.79,5.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Прочее,Калачинск,20110,Горьковское,100957,Женский,25-34 года,Остальные,Не определено,0.00,2,0,0.00,0.00,8.50,5.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Прочее,Тисуль,11296,Тисуль,11296,Женский,45-54 года,Остальные,Не определено,0.00,1,0,0.00,0.00,8.50,-,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Прочее,Новороссийск,970,Новороссийск,970,Женский,25-34 года,Остальные,Не определено,0.00,1,0,0.00,0.00,6.31,6.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Прочее,Заволжское сельское поселение,163588,Заволжское сельское поселение,163588,Женский,45-54 года,Остальные,Не определено,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Спецразмещение,Заволжское сельское поселение,163588,Заволжское сельское поселение,163588,Женский,35-44 года,Остальные,Не определено,0.00,1,0,0.00,0.00,77.01,1.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17645005020,Активные,Текстово-графическое,Психолог онлайн. КПТ. Из любой точки РФ,"Клинический психолог, метод КПТ. Бесплатная вводная встреча 30 мин.",https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Спецразмещение,Вязьма,10782,Вязьма,10782,Женский,45-54 года,Остальные,Не определено,0.00,1,0,0.00,0.00,130.05,3.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Спецразмещение,Ломоносов,10875,Ломоносов,10875,Мужской,25-34 года,Остальные,Не определено,0.00,1,0,0.00,0.00,90.17,2.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17645040839,Активные,Текстово-графическое,Тревога мешает жить? Я помогу это изменить,Когнитивно-поведенческая терапия. Научно обоснованный подход.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Прочее,Ханты-Мансийск,57,Ханты-Мансийск,57,Не определен,25-34 года,2–5%,Не определено,0.00,1,0,0.00,0.00,100.00,5.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Спецразмещение,Каменск-Уральский,11164,Каменск-Уральский,11164,Женский,35-44 года,Остальные,Не определено,0.00,1,0,0.00,0.00,100.00,1.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Спецразмещение,Улан-Удэ,198,Улан-Удэ,198,Женский,35-44 года,Остальные,Не определено,0.00,1,0,0.00,0.00,106.37,1.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Спецразмещение,Воронеж,193,Бодайбо,11260,Мужской,35-44 года,Остальные,Не определено,0.00,1,0,0.00,0.00,43.20,4.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17645005020,Активные,Текстово-графическое,Психолог онлайн. КПТ. Из любой точки РФ,"Клинический психолог, метод КПТ. Бесплатная вводная встреча 30 мин.",https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Спецразмещение,Салехард,58,Салехард,58,Не определен,Не определен,Остальные,Не определено,0.00,1,0,0.00,0.00,105.51,1.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17645005020,Активные,Текстово-графическое,Психолог онлайн. КПТ. Из любой точки РФ,"Клинический психолог, метод КПТ. Бесплатная вводная встреча 30 мин.",https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Спецразмещение,Махачкала,28,Махачкала,28,Женский,35-44 года,6–10%,Не определено,0.00,1,0,0.00,0.00,100.00,-,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Спецразмещение,Обнинск,967,Обнинск,967,Женский,45-54 года,Остальные,Не определено,0.00,3,0,0.00,0.00,63.51,1.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17645005020,Активные,Текстово-графическое,Психолог онлайн. КПТ. Из любой точки РФ,"Клинический психолог, метод КПТ. Бесплатная вводная встреча 30 мин.",https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Спецразмещение,Реутов,21621,Реутов,21621,Женский,35-44 года,Топ 1%,Не определено,0.00,1,0,0.00,0.00,58.64,4.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Спецразмещение,Курчатов,20707,Курчатов,20707,Женский,35-44 года,Остальные,Не определено,0.00,1,0,0.00,0.00,61.34,2.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Прочее,Лесосибирск,20090,Лесосибирск,20090,Женский,Не определен,Остальные,Не определено,0.00,1,0,0.00,0.00,8.50,5.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Спецразмещение,Новокузнецк,237,Новокузнецк,237,Мужской,45-54 года,Остальные,Не определено,0.00,1,0,0.00,0.00,115.29,1.00,0,-,-,-,0.00,-,-,-
704073639,Психолог Ксения,Автотаргетинг,,-,0,-,0,Целевые запросы,Запросы без упоминания брендов,-,,17622457486,Активные,Текстово-графическое,Частная консультация психолога онлайн,Профессиональная помощь. Конкретные техники и упражнения.,https://happy-habits.ru?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content={ad_id}&utm_term={PHRASE},-,-,-,-,Текстово-графический,Автоматический,Поиск,Прочее,Волгодонск,11036,Котельниково,10961,Мужской,45-54 года,Остальные,Не определено,0.00,1,0,0.00,0.00,100.00,5.00,0,-,-,-,0.00,-,-,-
